nome;concretezza;animatezza;verbi_sintetici;verbi_analitici;vsin_num;vsupp_num;vsin_bin;vsupp_bin
banca;concreto;non_animato;;;0;0;no;no
banco;concreto;non_animato;sbancare;;1;0;yes;no
bandiera;concreto;non_animato;imbandierare, sbandierare;;2;0;yes;no
bar;concreto;non_animato;;;0;0;no;no
barba;concreto;non_animato;barbare, sbarbare;fare la barba;2;1;yes;yes
base;concreto;non_animato;basare;avere una base;1;1;yes;yes
battaglia;concreto;non_animato;battagliare;andare in battaglia, dare (la) battaglia, fare la battaglia, mandare in battaglia;1;4;yes;yes
beato;concreto;non_animato;;;0;0;no;no
bellezza;astratto;non_animato;;;0;0;no;no
bello;astratto;non_animato;;;0;0;no;no
bene;astratto;non_animato;;fare il bene;0;1;no;yes
bestia;concreto;non_animato;;andare in bestia, mandare in bestia;0;2;no;yes
biancheria;concreto;non_animato;;;0;0;no;no
bianco;concreto;non_animato;;;0;0;no;no
bicchiere;concreto;non_animato;;;0;0;no;no
bicicletta;concreto;non_animato;;andare in bicicletta;0;1;no;yes
biglietto;concreto;non_animato;;;0;0;no;no
bisogno;astratto;non_animato;bisognare, abbisognare;avere (il) bisogno;2;1;yes;yes
bocca;concreto;non_animato;boccare, abboccare, imboccare, sboccare, boccheggiare;mettere bocca;5;1;yes;yes
bomba;concreto;non_animato;;mettere una bomba;0;1;no;yes
bombardamento;astratto;non_animato;;;0;0;no;no
bontà;astratto;non_animato;;;0;0;no;no
bordo;concreto;non_animato;bordare, abbordare, bordeggiare;avere a bordo, essere a bordo, prendere a bordo;3;3;yes;yes
borghese;concreto;non_animato;;;0;0;no;no
borsa;concreto;non_animato;sborsare, borseggiare;;2;0;yes;no
bosco;concreto;non_animato;imboscare;;1;0;yes;no
bottiglia;concreto;non_animato;imbottigliare;mettere in bottiglia;1;1;yes;yes
braccio;concreto;non_animato;abbracciare, imbracciare, sbracciarsi, sbracciare;;4;0;yes;no
brigadiere;concreto;umano;;;0;0;no;no
brutto;concreto;non_animato;;;0;0;no;no
bue;concreto;animato;;;0;0;no;no
bugia;astratto;non_animato;;;0;0;no;no
buio;astratto;non_animato;;;0;0;no;no
buongiorno;astratto;non_animato;;dare il buongiorno;0;1;no;yes
buono;astratto;non_animato;;fare il buono;0;1;no;yes
caccia;astratto;non_animato;;andare a caccia, dare la(/una) caccia, essere a caccia, essere in caccia, fare un caccia;0;5;no;yes
cadavere;concreto;non_animato;;;0;0;no;no
caffè;concreto;non_animato;;;0;0;no;no
calcio;astratto;non_animato;calciare, scalciare, calcificare;dare un(/il) calcio, fare calcio, prendere a calcio;3;3;yes;yes
caldo;astratto;non_animato;;fare un caldo;0;1;no;yes
calma;astratto;non_animato;calmare;;1;0;yes;no
calza;concreto;non_animato;calzare, incalzare, scalzare;;3;0;yes;no
cambio;astratto;non_animato;;avere in cambio, dare il(/un) cambio, dare in cambio, fare un cambio;0;4;no;yes
camera;concreto;non_animato;incamerare;;1;0;yes;no
cameriere;concreto;umano;;;0;0;no;no
camicia;concreto;non_animato;incamiciare, scamiciare;;2;0;yes;no
cammino;astratto;non_animato;camminare, incamminare;mettere in cammino;2;1;yes;yes
campagna;concreto;non_animato;;fare campagna;0;1;no;yes
campione;concreto;umano;campionare;;1;0;yes;no
campo;concreto;non_animato;campare, campare, campire, campire, accampare, scampare, campeggiare, campeggiare;avere campo, dare il campo, mettere in campo;8;3;yes;yes
canale;concreto;non_animato;incanalare, scanalare, scanalare, canalizzare;;4;0;yes;no
cane;concreto;animato;accanire;;1;0;yes;no
canto;astratto;non_animato;;;0;0;no;no
canzone;concreto;non_animato;canzonare;;1;0;yes;no
capello;concreto;non_animato;;;0;0;no;no
capitale;astratto;non_animato;capitalizzare;;1;0;yes;no
capitano;concreto;umano;capitanare;fare il capitano;1;1;yes;yes
capo;concreto;non_animato;capeggiare;avere a capo, essere a capo, mettere a capo, venire a capo;1;4;yes;yes
cappello;concreto;non_animato;scappellare;;1;0;yes;no
carabiniere;concreto;umano;;fare il carabiniere;0;1;no;yes
carattere;astratto;non_animato;caratterizzare;avere carattere, dare carattere;1;2;yes;yes
carbone;concreto;non_animato;carbonare, carbonizzare;;2;0;yes;no
carcere;concreto;non_animato;carcerare, incarcerare, scarcerare;andare in carcere, essere in carcere, mandare in carcere, mettere in carcere;3;4;yes;yes
carica;astratto;non_animato;;avere la carica, dare la carica, mettere in carica;0;3;no;yes
carità;astratto;non_animato;;avere la carità, fare la carità;0;2;no;yes
carne;concreto;non_animato;incarnare, incarnire, scarnire;;3;0;yes;no
carogna;astratto;non_animato;incarognire;;1;0;yes;no
carriera;astratto;non_animato;;fare (una) carriera;0;1;no;yes
carrozza;concreto;non_animato;carrozzare, scarrozzare;;2;0;yes;no
carta;concreto;non_animato;incartare, scartare, scartare;mettere su carta;3;1;yes;yes
cartolina;concreto;non_animato;;;0;0;no;no
casa;concreto;non_animato;accasare;andare a casa, fare da casa;1;2;yes;yes
caso;astratto;non_animato;;fare caso;0;1;no;yes
catena;concreto;non_animato;incatenare, scatenare;essere in catena, mettere la catena;2;2;yes;yes
cattivo;concreto;non_animato;;fare il cattivo;0;1;no;yes
cattolico;concreto;non_animato;;;0;0;no;no
causa;astratto;non_animato;causare;essere causa, fare causa, fare una causa;1;3;yes;yes
cavaliere;concreto;umano;;fare il cavaliere;0;1;no;yes
cavallo;concreto;animato;accavallare, scavallare, scavallare, scavallare;andare a cavallo, essere a cavallo;4;2;yes;yes
cellula;concreto;non_animato;;;0;0;no;no
cena;concreto;non_animato;cenare;andare a cena, essere a cena, fare una cena;1;3;yes;yes
centinaio;astratto;non_animato;;;0;0;no;no
centro;concreto;non_animato;centrare, accentrare, incentrare;fare centro;3;1;yes;yes
cerimonia;concreto;non_animato;;fare una cerimonia;0;1;no;yes
certo;concreto;non_animato;;;0;0;no;no
cervello;concreto;non_animato;scervellare;;1;0;yes;no
chiaro;concreto;non_animato;;;0;0;no;no
chiave;concreto;non_animato;chiavare;;1;0;yes;no
chiesa;concreto;non_animato;;;0;0;no;no
chilogrammo;astratto;non_animato;;;0;0;no;no
chilometro;astratto;non_animato;;;0;0;no;no
ciao;astratto;non_animato;;;0;0;no;no
cibo;concreto;non_animato;cibare;;1;0;yes;no
cieco;concreto;non_animato;;;0;0;no;no
cielo;concreto;non_animato;;;0;0;no;no
cifra;concreto;non_animato;cifrare;;1;0;yes;no
cima;concreto;non_animato;cimare;mettere in cima;1;1;yes;yes
cimitero;concreto;non_animato;;;0;0;no;no
cinema;astratto;non_animato;;andare a cinema, fare cinema;0;2;no;yes
circostanza;astratto;non_animato;;;0;0;no;no
città;concreto;non_animato;;;0;0;no;no
cittadino;concreto;umano;;;0;0;no;no
civile;concreto;non_animato;;;0;0;no;no
civiltà;astratto;non_animato;;;0;0;no;no
classe;astratto;non_animato;classificare;;1;0;yes;no
cliente;concreto;umano;;;0;0;no;no
clima;astratto;non_animato;acclimare, acclimatare, climatizzare;;3;0;yes;no
coda;concreto;non_animato;accodare, scodare, scodare;mettere in coda;3;1;yes;yes
cognome;astratto;non_animato;;avere il cognome, dare il cognome, prendere il cognome;0;3;no;yes
colazione;astratto;non_animato;;fare colazione;0;1;no;yes
collega;concreto;umano;;;0;0;no;no
collina;concreto;non_animato;scollinare;;1;0;yes;no
collo;concreto;non_animato;accollare, scollare;;2;0;yes;no
colore;concreto;non_animato;colorare, colorire, scolorare, scolorire;avere colore, dare (un) colore, prendere colore;4;3;yes;yes
colpa;astratto;non_animato;incolpare;avere la colpa, dare (la/una) colpa, fare una colpa;1;3;yes;yes
colpo;concreto;non_animato;colpire, scolpire;andare a colpo, dare un colpo, fare colpo, fare un colpo;2;4;yes;yes
coltello;concreto;non_animato;accoltellare;;1;0;yes;no
comando;astratto;non_animato;;avere il comando, dare il/un comando, essere a comando;0;3;no;yes
commercio;astratto;non_animato;commerciare;avere in commercio, mettere in commercio;1;2;yes;yes
comodità;astratto;non_animato;;;0;0;no;no
compagnia;astratto;non_animato;;avere compagnia, fare compagnia, fare la compagnia;0;3;no;yes
compagno;concreto;umano;accompagnare, scompagnare;;2;0;yes;no
compenso;astratto;non_animato;;avere in compenso;0;1;no;yes
compito;astratto;non_animato;;avere il compito, dare il compito, essere compito;0;3;no;yes
complesso;astratto;non_animato;complessare;;1;0;yes;no
completo;astratto;non_animato;;;0;0;no;no
complimento;astratto;non_animato;complimentare;fare il complimento, fare un complimento;1;2;yes;yes
comune;astratto;non_animato;;avere in comune, essere in comune;0;2;no;yes
comunicazione;astratto;non_animato;;dare comunicazione, fare comunicazione, fare la comunicazione, mettere in comunicazione;0;4;no;yes
comunista;concreto;umano;;fare il comunista;0;1;no;yes
condizione;astratto;non_animato;condizionare;dare una condizione, mettere in condizione;1;2;yes;yes
confessione;astratto;non_animato;confessare, sconfessare;fare una confessione;2;1;yes;yes
confine;concreto;non_animato;confinare, sconfinare;fare da confine;2;1;yes;yes
confronto;astratto;non_animato;;fare un confronto, mettere a confronto, mettere in confronto;0;3;no;yes
confusione;astratto;non_animato;;andare in confusione, fare confusione, mandare in confusione, mettere in confusione;0;4;no;yes
conoscenza;astratto;non_animato;;avere (la) conoscenza, essere a conoscenza, fare (la) conoscenza, mettere a conoscenza, prendere conoscenza, venire a conoscenza;0;6;no;yes
conseguenza;astratto;non_animato;;avere la conseguenza, essere conseguenza;0;2;no;yes
consenso;astratto;non_animato;;avere consenso, dare (il) consenso;0;2;no;yes
consiglio;astratto;non_animato;consigliare, sconsigliare;dare un(/il) consiglio;2;1;yes;yes
contadino;concreto;umano;;fare il contadino, fare la contadino;0;2;no;yes
contatto;astratto;non_animato;contattare;andare a contatto, avere contatto, essere in contatto, mettere a contatto, mettere in contatto, prendere contatto, venire a contatto, venire in contatto;1;8;yes;yes
conte;concreto;umano;;;0;0;no;no
continente;concreto;non_animato;;;0;0;no;no
conto;astratto;non_animato;;dare conto, fare conto, fare un conto, mettere in conto, prendere in conto;0;5;no;yes
contrario;astratto;non_animato;;;0;0;no;no
contratto;concreto;non_animato;contrattare;essere sotto contratto, fare un contratto, mettere sotto contratto;1;3;yes;yes
convento;concreto;non_animato;;;0;0;no;no
coraggio;astratto;non_animato;incoraggiare, scoraggiare;avere (il) coraggio, dare (il) coraggio, prendere (il) coraggio;2;3;yes;yes
corda;concreto;non_animato;;mettere la corda;0;1;no;yes
corno;concreto;non_animato;incornare, scornare, scornare, cornificare;fare la corno, mettere la corno;4;2;yes;yes
corpo;concreto;non_animato;accorpare;andare di corpo, avere in corpo, dare corpo, prendere corpo;1;4;yes;yes
corrente;astratto;non_animato;;essere a corrente;0;1;no;yes
corsa;astratto;non_animato;;essere in corsa, fare la corsa, fare una corsa;0;3;no;yes
corso;astratto;non_animato;;dare corso, essere in corso, fare un corso;0;3;no;yes
corte;concreto;non_animato;corteggiare;fare la(/una) corte;1;1;yes;yes
cortile;concreto;non_animato;;;0;0;no;no
cosa;concreto;non_animato;;;0;0;no;no
coscienza;astratto;non_animato;;avere coscienza, avere la coscienza, prendere coscienza;0;3;no;yes
costa;concreto;non_animato;accostare, scostare, costeggiare;;3;0;yes;no
costo;astratto;non_animato;;avere il costo, essere a costo;0;2;no;yes
costruzione;astratto;non_animato;;essere in costruzione;0;1;no;yes
creatura;concreto;non_animato;;;0;0;no;no
cretino;concreto;non_animato;;fare il cretino, fare la cretino;0;2;no;yes
crisi;astratto;non_animato;;andare in crisi, essere in crisi, mandare in crisi, mettere in crisi;0;4;no;yes
cristiano;astratto;non_animato;;;0;0;no;no
Cristo;concreto;umano;;;0;0;no;no
croce;concreto;non_animato;incrociare;mettere in croce, mettere una croce;1;2;yes;yes
cucina;concreto;non_animato;cucinare;;1;0;yes;no
cuore;concreto;non_animato;accorare, scorare;avere a cuore, dare il cuore, mettere il cuore, prendere a cuore;2;4;yes;yes
cura;astratto;non_animato;curare;andare in cura, avere cura, avere in cura, essere in cura, essere sotto cura, mettere in cura, prendere cura, prendere in cura;1;8;yes;yes
curiosità;astratto;non_animato;;avere la curiosità;0;1;no;yes
curva;concreto;non_animato;;fare una(/la) curva;0;1;no;yes
custode;concreto;umano;custodire;fare il custode;1;1;yes;yes
danno;astratto;non_animato;dannare, danneggiare;andare a danno, fare (un/il) danno;2;2;yes;yes
debito;astratto;non_animato;addebitare, indebitare, sdebitare;avere il debito, essere in debito;3;2;yes;yes
decina;astratto;non_animato;;;0;0;no;no
decisione;astratto;non_animato;;fare una decisione, prendere una(/la) decisione;0;2;no;yes
delinquente;concreto;umano;;;0;0;no;no
delitto;astratto;non_animato;;;0;0;no;no
denaro;concreto;non_animato;;fare denaro;0;1;no;yes
dente;concreto;non_animato;addentare, indentare, sdentare;;3;0;yes;no
desiderio;astratto;non_animato;;avere il(/un) desiderio;0;1;no;yes
destino;astratto;non_animato;;avere il destino;0;1;no;yes
destra;astratto;non_animato;;;0;0;no;no
diavolo;concreto;animato;;fare il diavolo;0;1;no;yes
difesa;astratto;non_animato;;mettere a difesa;0;1;no;yes
difetto;astratto;non_animato;;avere il difetto, essere in difetto;0;2;no;yes
differenza;astratto;non_animato;differenziare;fare differenza, fare la differenza;1;2;yes;yes
difficoltà;astratto;non_animato;;andare in difficoltà, avere (la) difficoltà, essere in difficoltà, mettere in difficoltà;0;4;no;yes
dimensione;astratto;non_animato;dimensionare;avere (la) dimensione;1;1;yes;yes
dio;concreto;animato;deificare;;1;0;yes;no
direttore;concreto;umano;;essere direttore, fare il direttore;0;2;no;yes
direzione;astratto;non_animato;direzionare;avere la/una direzione, dare una direzione, prendere una/la direzione;1;3;yes;yes
diritto;astratto;non_animato;;avere (il) diritto, dare (il) diritto;0;2;no;yes
disco;concreto;non_animato;;fare un disco;0;1;no;yes
discorso;astratto;non_animato;;fare un/il discorso;0;1;no;yes
disegno;concreto;non_animato;;fare un disegno;0;1;no;yes
disgrazia;astratto;non_animato;;avere la disgrazia, essere in disgrazia;0;2;no;yes
disgraziato;astratto;non_animato;;;0;0;no;no
disordine;astratto;non_animato;;essere in disordine, mettere in disordine;0;2;no;yes
disperazione;astratto;non_animato;;;0;0;no;no
disposizione;astratto;non_animato;;avere a disposizione, avere la disposizione, dare a disposizione, mettere a disposizione;0;4;no;yes
distanza;astratto;non_animato;distanziare;avere la/una distanza, prendere distanza;1;2;yes;yes
disturbo;astratto;non_animato;;essere di disturbo;0;1;no;yes
dito;concreto;non_animato;additare;;1;0;yes;no
divisione;astratto;non_animato;;fare la divisione;0;1;no;yes
documento;concreto;non_animato;documentare;;1;0;yes;no
dolore;astratto;non_animato;dolorare, addolorare;avere il dolore, dare un dolore;2;2;yes;yes
domanda;astratto;non_animato;;fare domanda, fare (una/la) domanda;0;2;no;yes
domani;astratto;non_animato;;;0;0;no;no
don;concreto;umano;;;0;0;no;no
donna;concreto;umano;;andare a donna, essere donna;0;2;no;yes
doppio;concreto;non_animato;;;0;0;no;no
dote;astratto;non_animato;dotare;andare in dote, avere in dote, avere la dote, dare in dote;1;4;yes;yes
dottore;concreto;umano;addottorare;fare il dottore;1;1;yes;yes
dovere;astratto;non_animato;;avere il dovere;0;1;no;yes
dubbio;astratto;non_animato;dubitare;avere un/il dubbio, essere in dubbio, mettere in dubbio;1;3;yes;yes
eccellenza;astratto;non_animato;;;0;0;no;no
educazione;astratto;non_animato;;dare una educazione;0;1;no;yes
effetto;astratto;non_animato;;avere effetto, avere un/il effetto, dare un/il effetto, essere sotto effetto, fare (un) effetto;0;5;no;yes
elemento;astratto;non_animato;;;0;0;no;no
emozione;astratto;non_animato;emozionare;;1;0;yes;no
energia;astratto;non_animato;;avere (una) energia, dare energia;0;2;no;yes
entusiasmo;astratto;non_animato;entusiasmare;;1;0;yes;no
episodio;astratto;non_animato;;;0;0;no;no
epoca;astratto;non_animato;;;0;0;no;no
erba;concreto;non_animato;;;0;0;no;no
eroe;concreto;umano;;fare il eroe;0;1;no;yes
errore;astratto;non_animato;;essere in errore, fare un errore;0;2;no;yes
esame;astratto;non_animato;esaminare;dare un/il esame, essere sotto esame, fare un esame, mettere sotto esame, prendere in esame;1;5;yes;yes
esempio;astratto;non_animato;esemplificare;dare un esempio, fare da esempio, fare un esempio, prendere a esempio, prendere da esempio, prendere esempio, prendere in esempio;1;7;yes;yes
esercito;concreto;non_animato;;;0;0;no;no
esilio;astratto;non_animato;esiliare;andare in esilio, essere in esilio, mandare in esilio;1;3;yes;yes
esistenza;astratto;non_animato;;venire ad esistenza;0;1;no;yes
esperienza;astratto;non_animato;;avere esperienza, avere una esperienza, fare esperienza;0;3;no;yes
esposizione;astratto;non_animato;;essere in esposizione, mettere in esposizione;0;2;no;yes
espressione;astratto;non_animato;;dare espressione;0;1;no;yes
estate;astratto;non_animato;;;0;0;no;no
esterno;astratto;non_animato;;;0;0;no;no
estero;astratto;non_animato;;;0;0;no;no
estraneo;astratto;non_animato;;;0;0;no;no
età;astratto;non_animato;;;0;0;no;no
europeo;astratto;non_animato;;;0;0;no;no
fabbrica;concreto;non_animato;fabbricare;;1;0;yes;no
faccenda;astratto;non_animato;affaccendare, sfaccendare;;2;0;yes;no
faccia;concreto;non_animato;affacciare;mettere la faccia;1;1;yes;yes
facciata;concreto;non_animato;;;0;0;no;no
falso;concreto;non_animato;;fare un falso;0;1;no;yes
fame;astratto;non_animato;affamare, sfamare;avere fame, fare la fame;2;2;yes;yes
famiglia;concreto;umano;;dare una famiglia, fare una/la famiglia;0;2;no;yes
fantasia;astratto;non_animato;;;0;0;no;no
fascista;concreto;umano;fascistizzare;fare il fascista;1;1;yes;yes
fastidio;astratto;non_animato;infastidire;dare fastidio;1;1;yes;yes
fatica;astratto;non_animato;faticare, affaticare;fare (la/una) fatica;2;1;yes;yes
fatto;concreto;non_animato;;;0;0;no;no
favore;astratto;non_animato;favorire, favoreggiare;andare a favore, avere il favore, essere a favore, essere in favore, fare un/il favore;2;5;yes;yes
fede;astratto;non_animato;;avere (la) fede, dare la fede, fare fede;0;3;no;yes
felicità;astratto;non_animato;;avere la felicità, dare la felicità;0;2;no;yes
fenomeno;astratto;non_animato;;fare il fenomeno;0;1;no;yes
ferita;concreto;non_animato;;;0;0;no;no
fermo;concreto;non_animato;;;0;0;no;no
ferro;concreto;non_animato;ferrare, afferrare, sferrare, sferrare;;4;0;yes;no
festa;concreto;non_animato;festeggiare;essere in festa, fare (una/la) festa;1;2;yes;yes
fianco;concreto;non_animato;fiancare, affiancare, sfiancare, fiancheggiare;avere a fianco;4;1;yes;yes
fiato;concreto;non_animato;fiatare, affiatare, sfiatare;dare fiato, prendere fiato;3;2;yes;yes
fidanzato;concreto;umano;;;0;0;no;no
fiducia;astratto;non_animato;;avere (la) fiducia, dare (la) fiducia, mettere la fiducia;0;3;no;yes
figlia;astratto;non_animato;;dare una figlia, essere figlia;0;2;no;yes
figlio;concreto;umano;figliare;essere figlio, fare un figlio;1;2;yes;yes
figliola;concreto;non_animato;;;0;0;no;no
figliolo;concreto;umano;;;0;0;no;no
figura;concreto;non_animato;figurare, sfigurare;;2;0;yes;no
fila;concreto;non_animato;sfilare;;1;0;yes;no
film;concreto;non_animato;filmare;fare film;1;1;yes;yes
filo;concreto;non_animato;filare, affilare, infilare, sfilare;fare il filo;4;1;yes;yes
fine;astratto;non_animato;finire;avere fine, avere il fine, fare la fine, mettere fine;1;4;yes;yes
finestra;concreto;non_animato;;;0;0;no;no
fiore;concreto;non_animato;fiorire, affiorare, affiorare, affiorare, infiorare, sfiorire, sfiorire, sfiorire;essere in fiore;8;1;yes;yes
firma;astratto;non_animato;;mettere una/la firma;0;1;no;yes
fisico;concreto;non_animato;;essere fisico;0;1;no;yes
fiume;concreto;non_animato;;;0;0;no;no
foglia;concreto;non_animato;fogliare, sfogliare;;2;0;yes;no
foglio;concreto;non_animato;sfogliare, sfogliare;;2;0;yes;no
folla;concreto;umano;affollare;;1;0;yes;no
fondo;concreto;non_animato;fondare, affondare, sfondare, sfondare;andare a fondo, andare in fondo, dare fondo, mandare a fondo;4;4;yes;yes
foresta;concreto;non_animato;;;0;0;no;no
forma;astratto;non_animato;formare, informare, informare, sformare;avere forma, avere la forma, dare forma, dare una/la forma, essere in forma, mettere in forma, prendere forma, prendere una/la forma;4;8;yes;yes
formula;astratto;non_animato;formulare;;1;0;yes;no
forte;astratto;non_animato;;;0;0;no;no
fortuna;astratto;non_animato;infortunare;avere (la) fortuna, fare fortuna;1;2;yes;yes
forza;astratto;non_animato;forzare, sforzare, sforzare, sforzare;avere forza, dare (la/una) forza, essere in forza, fare forza;4;4;yes;yes
fotografia;concreto;non_animato;fotografare;fare fotografia, fare una/la fotografia;1;2;yes;yes
francese;concreto;non_animato;;fare il francese;0;1;no;yes
frase;astratto;non_animato;fraseggiare;;1;0;yes;no
frate;concreto;umano;;;0;0;no;no
fratello;concreto;umano;affratellare;essere fratello;1;1;yes;yes
fretta;astratto;non_animato;affrettare;andare di fretta, avere fretta, essere di fretta, fare di fretta;1;4;yes;yes
fronte;check;non_animato;affrontare;fare fronte;1;1;yes;yes
frutta;concreto;non_animato;fruttare, sfruttare, sfruttare;;3;0;yes;no
frutto;concreto;non_animato;fruttificare;dare il frutto, essere frutto, mettere a frutto;1;3;yes;yes
fuga;astratto;non_animato;fugare;andare in fuga, essere in fuga, mettere in fuga;1;3;yes;yes
fumo;concreto;non_animato;fumare, sfumare;andare in fumo, fare fumo, mandare in fumo;2;3;yes;yes
funerale;astratto;non_animato;;fare il funerale;0;1;no;yes
funzione;astratto;non_animato;funzionare;avere la funzione, essere in funzione, mettere in funzione;1;3;yes;yes
fuoco;concreto;non_animato;infuocare, sfocare, sfocare;andare a fuoco, dare a fuoco, dare fuoco, essere a fuoco, fare fuoco, mandare a fuoco, mettere a fuoco, prendere fuoco;3;8;yes;yes
futuro;astratto;non_animato;;;0;0;no;no
gamba;concreto;non_animato;sgambare, sgambare, gambizzare;essere in gamba, prendere sotto gamba;3;2;yes;yes
gara;astratto;non_animato;gareggiare;essere in gara, fare a gara, fare una gara, mettere in gara;1;4;yes;yes
gas;concreto;non_animato;;dare gas;0;1;no;yes
gatto;concreto;animato;;fare il gatto;0;1;no;yes
generale;concreto;non_animato;;fare il generale;0;1;no;yes
generazione;astratto;non_animato;;;0;0;no;no
genere;astratto;non_animato;generare, ingenerare;;2;0;yes;no
genitore;concreto;umano;;essere genitore, fare da genitore, fare il genitore;0;3;no;yes
gente;concreto;umano;;;0;0;no;no
gesto;astratto;non_animato;gestire;fare il gesto;1;1;yes;yes
